date,song_title,artist,link
2020.04.17,Crazy Train,Ozzy Osbourne,https://youtu.be/RMR5zf1J1Hs
2020.04.24,The Final Countdown,Europe,https://youtu.be/9jK-NcRmVcw
2020.05.29,Five Magics,Megadeth,https://youtu.be/rIRWEFxdNmU
2020.07.07,Skateboarding theme,MGS2 Soundtrack,https://youtu.be/oY-ZGGbVgpc
2020.07.25,Mind Eraser,Municipal Waste,https://youtu.be/Zc5w0uRMF5Y
2021.01.23,Old Thunder,Ahab,https://youtu.be/tY2o8HaPfUE
2021.01.29,White on White Crime,Agoraphobic Nosebleed,https://youtu.be/l4rjM_syhDo
2021.02.05,The Four Horsemen,Metallica,https://youtu.be/C4nCy5CITc8
2021.02.12,Trapped in a Corner,Death,https://youtu.be/XlcApCaBvJM
2021.02.26,Domination,Pantera,https://youtu.be/mDATU5_jeC0
2021.03.05,Pull harder on the strings of your martyr,Trivium,https://youtu.be/SNCpo7pSF7s
2021.03.12,Tornado of Souls,Megadeth,https://youtu.be/Lcm9qqo_qB0
2021.03.19,Them Bones,Alice In Chains,https://youtu.be/wFgAE5SgFnw
2021.03.26,Geek U.S.A.,The Smashing Pumpkins,https://youtu.be/OSxHi2--fDo
2021.04.09,Alive,Pearl Jam,https://youtu.be/wGiTPgvKktM
2021.04.16,Golden Axe Metal Cover,Ecidemon,https://youtu.be/6ht06dmd0-c
2021.04.24,Shin Kicker,Horsebastard,https://youtu.be/S58zYDu0HVk
2021.04.30,One night in Neo Kobe city,Snatcher Soundtrack,https://youtu.be/Ofr8qqdZ_f0
2021.05.07,Wake,For Ruin,https://youtu.be/5F7cT6gV4DY
2021.05.14,Aces High, Iron Maiden,https://youtu.be/np8GaFHD9Lg
2021.05.21,Call of Ktulu,Metallica,https://youtu.be/t1RTgznup5c
2021.06.04,Don't Stop Believin',Journey,https://youtu.be/2KGe_4leh_Y
2021.06.11,B141,Shardbourne,https://soundcloud.com/shardborne/b141
2021.06.18,Leprosy,Death,https://youtu.be/48i5sod3Ji8
